provider_id,provider_name,contact_number,email,headquarters
1,Star Health,1590119758,starhealth@insurance.com,Chennai
2,Niva Bupa,3902397412,nivabupa@insurance.com,Chennai
3,HDFC ERGO,5401964990,hdfcergo@insurance.com,Bengaluru
4,ICICI Lombard,3182389902,icicilombard@insurance.com,Bengaluru
5,Care Health,8152193947,carehealth@insurance.com,Delhi
6,Aditya Birla Health,1953078944,adityabirlahealth@insurance.com,Mumbai
7,ManipalCigna,3146259985,manipalcigna@insurance.com,Hyderabad
8,SBI General,9945192918,sbigeneral@insurance.com,Chennai
9,Bajaj Allianz,9202668781,bajajallianz@insurance.com,Delhi
10,Reliance General,5402760701,reliancegeneral@insurance.com,Mumbai
11,Future Generali,7769361269,futuregenerali@insurance.com,Bengaluru
12,Tata AIG,5728992657,tataaig@insurance.com,Hyderabad
13,New India Assurance,4251284262,newindiaassurance@insurance.com,Hyderabad
14,Oriental Insurance,9143553973,orientalinsurance@insurance.com,Hyderabad
15,United India Insurance,2467505471,unitedindiainsurance@insurance.com,Bengaluru
